Module,Register,Planned_RTL,Actual_Synthesis,Status,Total FF per Module,,Module,Expected,Actual,Differences
msg_parser_v0,cmd_ack,1,1,Match,,,,,,
msg_parser_v0,green,8,0,Optimized Out,,,,,,
msg_parser_v0,msg_color_cnt,32,32,Match,,,,,,
msg_parser_v0,msg_led_cnt,32,32,Match,,,,,,
msg_parser_v0,pixel_data,24,24,Match,,,,,,
msg_parser_v0,r_data,32,32,Match,,,,,,
msg_parser_v0,r_en,1,1,Match,,,,,,
msg_parser_v0,red,8,0,Optimized Out,,,,,,
msg_parser_v0,reg_valid,1,1,Match,,,,,,
msg_parser_v0,rx_done_slow,1,1,Match,,,,,,
msg_parser_v0,sync_stages,3,3,Match,,,,,,
msg_parser_v0,toggle_fast,1,1,Match,,,,,,
msg_parser_v0,wdata,32,2,Partial Opt,,,,,,
msg_parser_v0,wr_en,1,1,Match,,,,,,
msg_parser_v0,wr_pixel,1,1,Match,156,,,,,
mux_sync,data_q,32,0,Optimized Out,,,,,,
mux_sync,dout,32,0,Optimized Out,,,,,,
mux_sync,q0,1,0,Optimized Out,,,,,,
mux_sync,q1,1,0,Optimized Out,,,,,,
mux_sync,q2,1,0,Optimized Out,0,,,,,
pixel_mem_v0,blue_rom,0,1,Inferred / Generated,,,,,,
pixel_mem_v0,blue_temp,32,24,Partial Opt,,,,,,
pixel_mem_v0,cycle_cnt,2,2,Match,,,,,,
pixel_mem_v0,fifo_read_en,1,1,Match,,,,,,
pixel_mem_v0,green_rom,0,1,Inferred / Generated,,,,,,
pixel_mem_v0,green_temp,32,24,Partial Opt,,,,,,
pixel_mem_v0,o_blue_data,32,0,Optimized Out,,,,,,
pixel_mem_v0,o_green_data,32,0,Optimized Out,,,,,,
pixel_mem_v0,o_red_data,32,0,Optimized Out,,,,,,
pixel_mem_v0,pixel_cnt,3,2,Partial Opt,,,,,,
pixel_mem_v0,pixel_pkt_load,1,1,Match,,,,,,
pixel_mem_v0,read_addr,16,75,FSM/Logic Expansion,,,,,,
pixel_mem_v0,red_rom,0,1,Inferred / Generated,,,,,,
pixel_mem_v0,red_temp,32,24,Partial Opt,,,,,,
pixel_mem_v0,stage1,1,1,Match,,,,,,
pixel_mem_v0,write_addr,16,71,FSM/Logic Expansion,228,,,,,
rst_n_sync,ff0_sync,0,1,Inferred / Generated,,,,,,
rst_n_sync,rst_n_sync,0,1,Inferred / Generated,2,,,,,
rst_n_sync_0,ff0_sync,0,1,Inferred / Generated,,,,,,
